Country,Strategic_Tactic,Total_Volume,Total Bed Nights,Avg_Growth,Avg_Duration,Leisure_Ratio,Business_Ratio,Young_Ratio,Silver_Ratio
Philippines,Resilient Core,131251,902131.8733333334,0.1368118784333165,6.873333333333334,0.8411723495716419,0.12185914291762852,0.18232953967854496,0.10171596429688662
Poland,Emerging Markets,235298,2359201.1365151512,0.19212251764812094,10.026439393939393,0.9412595943658907,0.03979398529393814,0.15469077131849898,0.10476811825214251
Russia,Emerging Markets,1244560,13496216.066666666,0.25966599430396753,10.844166666666666,0.8870076363454963,0.09914579294604405,0.2242485583217103,0.07014389027952055
Saudi Arabia,Seasonal Youth,216204,1853408.79,-0.09433445193639059,8.5725,0.8625701211971174,0.023936770068337204,0.2195811964442489,0.07076842524572022
Singapore,Resilient Core,196271,1354597.0183333335,-0.005211144869480311,6.901666666666667,0.6772594462379958,0.09835397912804489,0.12923462528996385,0.14591435034375747
South Africa,Emerging Markets,60976,538672.1466666666,0.13854405748725507,8.834166666666667,0.8822551007864445,0.05486031620736775,0.16449563871812511,0.13239719796606458
South Korea,Resilient Core,146502,1070685.45,0.11073423488073222,7.308333333333334,0.8636117758316018,0.11525806239993279,0.14021748013114302,0.16370770056451775
Spain,Emerging Markets,271533,2976906.79,0.22660037802812835,10.963333333333333,0.9250074421592437,0.0470015012508243,0.17742478355170718,0.09980425397772254
Sweden,Traditional Leisure,217264,2858832.1333333333,0.0789994053561384,13.158333333333333,0.9249069559190527,0.04154600823361431,0.17469612234550827,0.22187117518675933
Switzerland,Traditional Leisure,324082,4387800.211666667,0.092476298331064,13.539166666666667,0.8644216417697635,0.09243273454359847,0.17908332715161665,0.15740678661099314
Thailand,Resilient Core,108119,788728.1049999999,0.057998872242401814,7.294999999999999,0.8586275597380912,0.08067558211923559,0.13687686646803002,0.16782605088257205
U.K,Traditional Leisure,2184711,26203787.8525,0.07534999767419578,11.994166666666667,0.9319171096324693,0.03972350808830832,0.15103135677884064,0.19816323013462636
U.S.A.,Traditional Leisure,648483,6463213.9,0.1111071230002844,9.966666666666667,0.9065261110444278,0.0570554238274738,0.1459433335224636,0.19243293670583253
UAE,Seasonal Youth,58821,504243.02249999996,-0.04926638165729694,8.5725,0.8653425975079545,0.09930984576789026,0.1728707866263127,0.09919443343640573
Ukraine,Seasonal Youth,309966,3019632.4145454546,0.04975408429295639,9.741818181818182,0.9029397441147907,0.0850661270053937,0.25043475123345277,0.05484054263138832
Others - Africa,Resilient Core,111192,982288.66,0.25470266908408673,8.834166666666667,0.8090187394462832,0.10828518233153461,0.1789541508133699,0.09955909619150062
Others - Asia,Resilient Core,21069,156577.78500000003,0.06295897385684911,7.4316666666666675,0.7672603980065718,0.20327804298498953,0.3129335250218256,0.05900306513119633
Others - Australasia,Resilient Core,4872,55175.40000000001,-0.01722555870028154,11.325000000000001,0.6937741139454396,0.16654601201039584,0.15406751630113588,0.12503362785247948
Others - East Asia,Resilient Core,92368,655148.905,0.04022150109288504,7.0928125,0.8032461818536687,0.12921708100557472,0.15398547240760665,0.15123429021094317
Others - Eastern Europe,Emerging Markets,616315,5850883.733333333,0.10743279789413926,9.493333333333334,0.8903416790646747,0.08190371116194078,0.1896594140941404,0.08338205348980005
Others - Latin America & The Caribbean,Emerging Markets,71293,639022.9233333333,0.25749766115759587,8.963333333333333,0.8248069192459618,0.08091784844730772,0.18248746831203116,0.12401527838838784
Others - Middle East,Seasonal Youth,432198,3705017.355,-0.04790742770063209,8.5725,0.8194474708269823,0.06713191268866452,0.20188167557128342,0.07026098749851488
Others - South Asia,Resilient Core,80472,537381.957,0.03286626401128035,6.677875,0.7302199441601539,0.1804748512040113,0.1810055905240777,0.06977236141725442
Others - Western Europe,Emerging Markets,244735,2740012.270833333,0.17187578830370004,11.195833333333333,0.8608477937486161,0.0722981548271875,0.16389389751175976,0.12800386237781336
